time_trimmed,Vm,Cai
101729.672959394,-74.3599346898245,0.000347918270535789
101730.672959394,-74.3485738585677,0.000346794463293243
101731.672959394,-74.3370915250668,0.0003456760291074
101732.672959394,-74.3254931476502,0.000344562942719393
101733.672959394,-74.3137838518261,0.000343455179067591
101734.672959394,-74.3019684462045,0.000342352713289775
101735.672959394,-74.2900514375488,0.000341255520724992
101736.672959394,-74.2780370450093,0.000340163576915114
101737.672959394,-74.2659292135874,0.00033907685760613
101738.672959394,-74.2537316268795,0.000337995338749154
101739.672959394,-74.2414477191413,0.000336918996501199
101740.672959394,-74.2290806867173,0.000335847807225698
101741.672959394,-74.2166334988704,0.00033478174749281
101742.672959394,-74.204108908051,0.000333720794079503
101743.672959394,-74.1915094596379,0.000332664923969436
101744.672959394,-74.1788375011829,0.00033161411435264
101745.672959394,-74.1660951911906,0.000330568342625023
101746.672959394,-74.153284507459,0.000329527586387688
101747.672959394,-74.1404072550105,0.000328491823446093
101748.672959394,-74.1274650736346,0.000327461031809039
101749.672959394,-74.1144594450683,0.000326435189687516
101750.672959394,-74.1013916998348,0.000325414275493398
101751.672959394,-74.0882630237599,0.000324398267837998
101752.672959394,-74.075074464188,0.000323387145530498
101753.672959394,-74.0618269359118,0.000322380887576244
101754.672959394,-74.0485212268365,0.000321379473174931
101755.672959394,-74.0351580033904,0.000320382881718667
101756.672959394,-74.0217378156995,0.000319391092789935
101757.672959394,-74.0082611025378,0.00031840408615945
101758.672959394,-73.9947281960678,0.000317421841783921
101759.672959394,-73.981139326381,0.000316444339803721
101760.672959394,-73.9674946258515,0.000315471560540469
101761.672959394,-73.9537941333124,0.000314503484494543
101762.672959394,-73.9400377980641,0.000313540092342497
101763.672959394,-73.926225483724,0.000312581364934429
101764.672959394,-73.9123569719258,0.000311627283291272
101765.672959394,-73.8984319658764,0.000310677828602026
101766.672959394,-73.8844500937766,0.000309732982220938
101767.672959394,-73.8704109121136,0.000308792725664629
101768.672959394,-73.8563139088299,0.000307857040609179
101769.672959394,-73.8421585063753,0.000306925908887168
101770.672959394,-73.8279440646464,0.000305999312484684
101771.672959394,-73.813669883819,0.000305077233538304
101772.672959394,-73.7993352070772,0.00030415965433204
101773.672959394,-73.7849392232425,0.000303246557294276
101774.672959394,-73.7704810693085,0.000302337924994682
101775.672959394,-73.7559598328817,0.000301433740141123
101776.672959394,-73.7413745545335,0.000300533985576555
101777.672959394,-73.7267242300648,0.00029963864427593
101778.672959394,-73.7120078126862,0.000298747699343099
101779.672959394,-73.6972242151147,0.000297861134007726
101780.672959394,-73.6823723115905,0.000296978931622214
101781.672959394,-73.6674509398135,0.000296101075658661
101782.672959394,-73.6524589028031,0.000295227549705821
101783.672959394,-73.6373949706794,0.000294358337466111
101784.672959394,-73.6222578823706,0.000293493422752644
101785.672959394,-73.607046347244,0.0002926327894863
101786.672959394,-73.5917590466635,0.00029177642169284
101787.672959394,-73.5763946354731,0.000290924303500072
101788.672959394,-73.5609517434067,0.000290076419135059
101789.672959394,-73.5454289764263,0.000289232752921394
101790.672959394,-73.5298249179854,0.000288393289276528
101791.672959394,-73.5141381302216,0.000287558012709165
101792.672959394,-73.4983671550758,0.000286726907816724
101793.672959394,-73.4825105153384,0.000285899959282876
101794.672959394,-73.4665667156238,0.000285077151875153
101795.672959394,-73.4505342432713,0.000284258470442642
101796.672959394,-73.4344115691736,0.000283443899913755
101797.672959394,-73.4181971485318,0.000282633425294094
101798.672959394,-73.4018894215373,0.000281827031664393
101799.672959394,-73.38548681398,0.000281024704178569
101800.672959394,-73.3689877377828,0.000280226428061851
101801.672959394,-73.3523905914619,0.000279432188609019
101802.672959394,-73.3356937605133,0.000278641971182736
101803.672959394,-73.3188956177237,0.000277855761211989
101804.672959394,-73.3019945234084,0.000277073544190622
101805.672959394,-73.2849888255723,0.000276295305675993
101806.672959394,-73.2678768599969,0.000275521031287721
101807.672959394,-73.250656950252,0.000274750706706553
101808.672959394,-73.2333274076311,0.000273984317673339
101809.672959394,-73.2158865310114,0.000273221849988117
101810.672959394,-73.1983326066385,0.000272463289509311
101811.672959394,-73.1806639078341,0.000271708622153042
101812.672959394,-73.1628786946283,0.000270957833892555
101813.672959394,-73.1449752133154,0.000270210910757754
101814.672959394,-73.1269516959334,0.000269467838834862
101815.672959394,-73.1088063596669,0.00026872860426618
101816.672959394,-73.0905374061734,0.000267993193249973
101817.672959394,-73.0721430208335,0.000267261592040467
101818.672959394,-73.0536213719232,0.000266533786947951
101819.672959394,-73.0349706097108,0.000265809764339008
101820.672959394,-73.0161888654748,0.000265089510636839
101821.672959394,-72.9972742504465,0.000264373012321718
101822.672959394,-72.9782248546737,0.000263660255931542
101823.672959394,-72.9590387458072,0.000262951228062498
101824.672959394,-72.9397139678092,0.00026224591536984
101825.672959394,-72.9202485395834,0.000261544304568773
101826.672959394,-72.9006404535261,0.00026084638243544
101827.672959394,-72.880887673998,0.000260152135808016
101828.672959394,-72.8609881357157,0.000259461551587914
101829.672959394,-72.8409397420636,0.000258774616741083
101830.672959394,-72.8207403633231,0.000258091318299415
101831.672959394,-72.8003878348203,0.000257411643362253
101832.672959394,-72.7798799549903,0.000256735579097995
101833.672959394,-72.7592144833566,0.000256063112745802
101834.672959394,-72.738389138425,0.000255394231617402
101835.672959394,-72.7174015954902,0.000254728923098988
101836.672959394,-72.696249484353,0.000254067174653218
101837.672959394,-72.6749303869477,0.000253408973821306
101838.672959394,-72.6534418348754,0.000252754308225208
101839.672959394,-72.6317813068431,0.000252103165569909
101840.672959394,-72.6099462260054,0.000251455533645791
101841.672959394,-72.5879339572048,0.000250811400331111
101842.672959394,-72.5657418041099,0.000250170753594558
101843.672959394,-72.5433670062465,0.000249533581497914
101844.672959394,-72.5208067359188,0.000248899872198804
101845.672959394,-72.4980580950162,0.000248269613953546
101846.672959394,-72.4751181117024,0.000247642795120088
101847.672959394,-72.4519837369817,0.000247019404161052
101848.672959394,-72.4286518411369,0.000246399429646869
101849.672959394,-72.4051192100349,0.000245782860259013
101850.672959394,-72.3813825412931,0.000245169684793344
101851.672959394,-72.3574384403007,0.000244559892163544
101852.672959394,-72.3332834160881,0.000243953471404669
101853.672959394,-72.3089138770373,0.000243350411676799
101854.672959394,-72.2843261264257,0.000242750702268811
101855.672959394,-72.259516357794,0.000242154332602258
101856.672959394,-72.2344806501308,0.000241561292235373
101857.672959394,-72.2092149628626,0.000240971570867193
101858.672959394,-72.1837151306401,0.000240385158341815
101859.672959394,-72.1579768579087,0.000239802044652781
101860.672959394,-72.1319957132526,0.000239222219947606
101861.672959394,-72.1057671234976,0.000238645674532448
101862.672959394,-72.0792863675619,0.000238072398876934
101863.672959394,-72.0525485700371,0.000237502383619143
101864.672959394,-72.025548694486,0.000236935619570756
101865.672959394,-71.9982815364392,0.00023637209772238
101866.672959394,-71.9707417160725,0.000235811809249068
101867.672959394,-71.9429236705465,0.000235254745516017
101868.672959394,-71.9148216459863,0.000234700898084488
101869.672959394,-71.8864296890804,0.000234150258717931
101870.672959394,-71.8577416382738,0.00023360281938835
101871.672959394,-71.8287511145305,0.000233058572282906
101872.672959394,-71.7994515116365,0.000232517509810776
101873.672959394,-71.7698359860154,0.00023197962461029
101874.672959394,-71.7398974460236,0.000231444909556358
101875.672959394,-71.7096285406906,0.000230913357768194
101876.672959394,-71.6790216478688,0.000230384962617384
101877.672959394,-71.648068861752,0.000229859717736286
101878.672959394,-71.6167619797197,0.000229337617026807
101879.672959394,-71.5850924884626,0.000228818654669568
101880.672959394,-71.5530515493375,0.000228302825133496
101881.672959394,-71.5206299828996,0.00022779012318585
101882.672959394,-71.4878182525534,0.00022728054390273
101883.672959394,-71.4546064472595,0.000226774082680091
101884.672959394,-71.4209842632295,0.000226270735245296
101885.672959394,-71.3869409845359,0.000225770497669251
101886.672959394,-71.3524654625567,0.000225273366379147
101887.672959394,-71.3175460941691,0.000224779338171874
101888.672959394,-71.2821707985973,0.000224288410228135
101889.672959394,-71.2463269928139,0.000223800580127309
101890.672959394,-71.2100015653827,0.000223315845863137
101891.672959394,-71.1731808486234,0.000222834205860259
101892.672959394,-71.1358505889653,0.000222355658991697
101893.672959394,-71.0979959153474,0.00022188020459732
101894.672959394,-71.0596013055074,0.000221407842503397
101895.672959394,-71.0206505499888,0.000220938573043287
101896.672959394,-70.9811267136778,0.000220472397079383
101897.672959394,-70.9410120946644,0.000220009316026375
101898.672959394,-70.9002881802023,0.000219549331875966
101899.672959394,-70.8589355995194,0.000219092447223128
101900.672959394,-70.8169340732061,0.000218638665294034
101901.672959394,-70.7742623588819,0.000218187989975798
101902.672959394,-70.7308981928078,0.000217740425848169
101903.672959394,-70.6868182270805,0.000217295978217342
101904.672959394,-70.6419979620028,0.000216854653152058
101905.672959394,-70.5964116731833,0.00021641645752219
