Time,Vm,Cai
201.66,-74.5185933996045,9.32011525395448e-05
202.66,-74.5120743511231,9.29578804291527e-05
203.66,-74.5055301229638,9.27164977282969e-05
204.66,-74.4989604534254,9.2476989181497e-05
205.66,-74.4923650805179,9.22393396882551e-05
206.66,-74.4857437419255,9.20035343014601e-05
207.66,-74.4790961749705,9.17695582258085e-05
208.66,-74.472422116576,9.15373968162408e-05
209.66,-74.4657213032275,9.13070355763937e-05
210.66,-74.4589934709351,9.10784601570683e-05
211.66,-74.4522383551936,9.08516563547141e-05
212.66,-74.4454556909433,9.06266101099282e-05
213.66,-74.4386452125289,9.04033075059708e-05
214.66,-74.4318066536589,9.01817347672956e-05
215.66,-74.4249397473638,8.99618782580956e-05
216.66,-74.4180442259532,8.97437244808647e-05
217.66,-74.4111198209732,8.95272600749741e-05
218.66,-74.404166263162,8.93124718152642e-05
219.66,-74.3971832824059,8.90993466106508e-05
220.66,-74.3901706076937,8.88878715027478e-05
221.66,-74.3831279670709,8.86780336645027e-05
222.66,-74.3760550875928,8.8469820398849e-05
223.66,-74.3689516952772,8.82632191373718e-05
224.66,-74.3618175150561,8.80582174389886e-05
225.66,-74.3546522707266,8.7854802988645e-05
226.66,-74.3474556849013,8.76529635960238e-05
227.66,-74.3402274789576,8.74526871942696e-05
228.66,-74.332967372986,8.72539618387266e-05
229.66,-74.3256750857384,8.70567757056917e-05
230.66,-74.3183503345744,8.68611170911806e-05
231.66,-74.3109928354078,8.66669744097084e-05
232.66,-74.3036023026515,8.64743361930839e-05
233.66,-74.2961784491615,8.62831910892181e-05
234.66,-74.2887209861807,8.6093527860946e-05
235.66,-74.2812296232811,8.59053353848616e-05
236.66,-74.2737040683048,8.57186026501675e-05
237.66,-74.2661440273049,8.55333187575372e-05
238.66,-74.2585492044848,8.53494729179902e-05
239.66,-74.2509193021366,8.51670544517821e-05
240.66,-74.2432540205782,8.49860527873054e-05
241.66,-74.23555305809,8.48064574600058e-05
242.66,-74.2278161108497,8.46282581113096e-05
243.66,-74.2200428728666,8.44514444875648e-05
244.66,-74.2122330359144,8.42760064389951e-05
245.66,-74.204386289463,8.41019339186661e-05
246.66,-74.196502320609,8.39292169814645e-05
247.66,-74.1885808140051,8.37578457830895e-05
248.66,-74.1806214517879,8.35878105790569e-05
249.66,-74.1726239135051,8.34191017237154e-05
250.66,-74.1645878760407,8.32517096692753e-05
251.66,-74.1565130135389,8.3085624964849e-05
252.66,-74.1483989973271,8.2920838255504e-05
253.66,-74.1402454958373,8.27573402813279e-05
254.66,-74.1320521745255,8.25951218765047e-05
255.66,-74.1238186957906,8.24341739684041e-05
256.66,-74.1155447188905,8.22744875766813e-05
257.66,-74.1072298998582,8.21160538123891e-05
258.66,-74.0988738914146,8.19588638771021e-05
259.66,-74.0904763428813,8.18029090620513e-05
260.66,-74.0820369000902,8.16481807472711e-05
261.66,-74.0735552052925,8.14946704007573e-05
262.66,-74.0650308970651,8.13423695776364e-05
263.66,-74.0564636102159,8.11912699193463e-05
264.66,-74.0478529756869,8.10413631528279e-05
265.66,-74.0391986204547,8.08926410897284e-05
266.66,-74.0305001674305,8.07450956256146e-05
267.66,-74.0217572353565,8.05987187391986e-05
268.66,-74.0129694387013,8.04535024915728e-05
269.66,-74.0041363875528,8.03094390254573e-05
270.66,-73.9952576875085,8.01665205644567e-05
271.66,-73.9863329395644,8.0024739412329e-05
272.66,-73.9773617400003,7.98840879522639e-05
273.66,-73.9683436802644,7.97445586461728e-05
274.66,-73.9592783468537,7.96061440339882e-05
275.66,-73.950165321193,7.94688367329751e-05
276.66,-73.9410041795109,7.93326294370517e-05
277.66,-73.9317944927132,7.91975149161207e-05
278.66,-73.9225358262532,7.90634860154115e-05
279.66,-73.9132277399999,7.89305356548325e-05
280.66,-73.9038697881025,7.87986568283334e-05
281.66,-73.8944615188525,7.86678426032779e-05
282.66,-73.8850024745419,7.85380861198272e-05
283.66,-73.8754921913194,7.84093805903328e-05
284.66,-73.8659301990423,7.82817192987399e-05
285.66,-73.8563160211255,7.81550956000014e-05
286.66,-73.8466491743865,7.80295029195009e-05
287.66,-73.836929168888,7.79049347524867e-05
288.66,-73.8271555077755,7.77813846635159e-05
